crystal_id,Binding Energy (kJ/mol/OSDA),Host,Guest SMILES,Guests/Cell,Metric,Parent ID,Substrate Theory,Complex
137444154,-1249.5788759747936,ACO,NCCN,1,opt,83510401,DFT,"ACO,NCCN"
137371716,-66.28492715891691,ACO,NCCN,2,frz,83510405,DFT,"ACO,NCCN"
137352989,-32.62575819202427,ACO,NCCN,2,MD,83510406,DFT,"ACO,NCCN"
137335164,-326.9081021097564,AEL,CC(C)NC(C)C,1,MD,87639868,DFT,"AEL,CC(C)NC(C)C"
137319294,-157.13131455974377,AEL,CC(C)NC(C)C,2,opt,87639872,DFT,"AEL,CC(C)NC(C)C"
137319294,-152.95208639058768,AEL,CC(C)NC(C)C,2,frz,87639872,DFT,"AEL,CC(C)NC(C)C"
137331894,-121.53284018026314,AEL,CCNCC,1,frz,87638436,DFT,"AEL,CCNCC"
137447004,-210.28156680764963,AEL,CCNCC,2,MD,87638437,DFT,"AEL,CCNCC"
137352706,-139.22616736848795,AEL,CCNCC,2,opt,87638439,DFT,"AEL,CCNCC"
139585458,-130.24653518966636,AFI,N[C@H]1CC[C@H](N)CC1,1,frz,83514923,DFT,"AFI,N[C@H]1CC[C@H](N)CC1"
137368674,-138.63394870097548,AFI,N[C@H]1CC[C@H](N)CC1,1,opt,83514924,DFT,"AFI,N[C@H]1CC[C@H](N)CC1"
137368674,-106.60840867435054,AFI,N[C@H]1CC[C@H](N)CC1,1,MD,83514924,DFT,"AFI,N[C@H]1CC[C@H](N)CC1"
139594316,-135.98389459372981,AFI,N[C@H]1CC[C@H](N)CC1,1,opt,137442022,SLC,"AFI,N[C@H]1CC[C@H](N)CC1"
137444242,-138.51598575380086,AFI,N[C@H]1CC[C@H](N)CC1,1,frz,137442023,SLC,"AFI,N[C@H]1CC[C@H](N)CC1"
137444242,-113.19734867434506,AFI,N[C@H]1CC[C@H](N)CC1,1,MD,137442023,SLC,"AFI,N[C@H]1CC[C@H](N)CC1"
137349148,-130.6884543388208,AFI,C1CN2CCN1CC2,1,opt,83524051,DFT,"AFI,C1CN2CCN1CC2"
137349148,-100.303269721766,AFI,C1CN2CCN1CC2,1,frz,83524051,DFT,"AFI,C1CN2CCN1CC2"
137349148,-90.30876113740173,AFI,C1CN2CCN1CC2,1,MD,83524051,DFT,"AFI,C1CN2CCN1CC2"
137444243,-115.94222046883104,AFI,C1CN2CCN1CC2,1,opt,137442024,SLC,"AFI,C1CN2CCN1CC2"
137444243,-112.75278739487878,AFI,C1CN2CCN1CC2,1,frz,137442024,SLC,"AFI,C1CN2CCN1CC2"
137445993,-100.51218732383042,AFI,C1CN2CCN1CC2,1,MD,137442026,SLC,"AFI,C1CN2CCN1CC2"
137343326,-121.306502996608,AFI,C1CCNCC1,1,opt,83522558,DFT,"AFI,C1CCNCC1"
137343326,-90.97197027582067,AFI,C1CCNCC1,1,frz,83522558,DFT,"AFI,C1CCNCC1"
137337303,-81.22682932327571,AFI,C1CCNCC1,1,MD,83522559,DFT,"AFI,C1CCNCC1"
137444245,-116.11733649285502,AFI,C1CCNCC1,1,opt,137442027,SLC,"AFI,C1CCNCC1"
137444247,-105.06506434577166,AFI,C1CCNCC1,1,MD,137442029,SLC,"AFI,C1CCNCC1"
137444247,-99.16688689830485,AFI,C1CCNCC1,1,frz,137442029,SLC,"AFI,C1CCNCC1"
137322855,-122.24815047191612,AFI,C1CNCCNC1,1,opt,83511546,DFT,"AFI,C1CNCCNC1"
137443678,-102.0423644732659,AFI,C1CNCCNC1,1,frz,83511547,DFT,"AFI,C1CNCCNC1"
137443680,-94.43778855316106,AFI,C1CNCCNC1,1,MD,83511548,DFT,"AFI,C1CNCCNC1"
137447530,-125.65640259371317,AFI,C1CNCCNC1,1,opt,137442051,SLC,"AFI,C1CNCCNC1"
137447531,-122.45842972489952,AFI,C1CNCCNC1,1,MD,137442052,SLC,"AFI,C1CNCCNC1"
137447532,-120.57056607413082,AFI,C1CNCCNC1,1,frz,137442053,SLC,"AFI,C1CNCCNC1"
137443672,-88.99383025971173,AFI,CC(C)N,1,opt,83511534,DFT,"AFI,CC(C)N"
137354858,-70.3913185631273,AFI,CC(C)N,1,frz,83511536,DFT,"AFI,CC(C)N"
137354858,-61.53439855352796,AFI,CC(C)N,1,MD,83511536,DFT,"AFI,CC(C)N"
137444208,-78.28794793706311,AFI,CC(C)N,1,frz,137442066,SLC,"AFI,CC(C)N"
137444209,-100.79440120627613,AFI,CC(C)N,1,opt,137442067,SLC,"AFI,CC(C)N"
137444210,-87.6184389963568,AFI,CC(C)N,1,MD,137442068,SLC,"AFI,CC(C)N"
137443643,-80.39414905350506,AFI,CCCN,1,opt,83508401,DFT,"AFI,CCCN"
139697770,-75.71835148743651,AFI,CCCN,2,frz,83508403,DFT,"AFI,CCCN"
137444144,-61.03222709003274,AFI,CCCN,2,MD,83508404,DFT,"AFI,CCCN"
137444227,-78.9088946249482,AFI,CCCN,1,frz,137442085,SLC,"AFI,CCCN"
137444228,-90.42322693744381,AFI,CCCN,1,MD,137442086,SLC,"AFI,CCCN"
137444228,-85.40567354766236,AFI,CCCN,1,opt,137442086,SLC,"AFI,CCCN"
137335629,-57.84620565119181,AFI,CNC,2,frz,83494065,DFT,"AFI,CNC"
137335629,-49.49323065372045,AFI,CNC,2,MD,83494065,DFT,"AFI,CNC"
137333111,-63.973811332690964,AFI,CNC,3,opt,83494066,DFT,"AFI,CNC"
137444965,-74.36341543317589,AFI,CNC,1,opt,137442734,SLC,"AFI,CNC"
137444965,-67.19589093039768,AFI,CNC,1,MD,137442734,SLC,"AFI,CNC"
137446051,-58.89651054738558,AFI,CNC,1,frz,137442735,SLC,"AFI,CNC"
137444175,-107.31906824468756,AFI,C1COCCN1,1,opt,83511764,DFT,"AFI,C1COCCN1"
137444175,-68.34390341084392,AFI,C1COCCN1,1,MD,83511764,DFT,"AFI,C1COCCN1"
139605383,-95.71206517395305,AFI,C1COCCN1,2,frz,83511767,DFT,"AFI,C1COCCN1"
137445100,-89.26433166699718,AFI,C1COCCN1,1,frz,137442753,SLC,"AFI,C1COCCN1"
137445101,-106.60981240660588,AFI,C1COCCN1,1,opt,137442754,SLC,"AFI,C1COCCN1"
137445102,-96.40299693544584,AFI,C1COCCN1,1,MD,137442755,SLC,"AFI,C1COCCN1"
137441082,-82.55734184242087,AFI,CN1CCNCC1,1,MD,83542590,DFT,"AFI,CN1CCNCC1"
137320206,-101.47841359116795,AFI,CN1CCNCC1,1,frz,83542592,DFT,"AFI,CN1CCNCC1"
137320206,-53.309674025186986,AFI,CN1CCNCC1,1,opt,83542592,DFT,"AFI,CN1CCNCC1"
137445103,-110.38315338538936,AFI,CN1CCNCC1,1,frz,137442757,SLC,"AFI,CN1CCNCC1"
137445105,-118.31159010855283,AFI,CN1CCNCC1,1,opt,137442759,SLC,"AFI,CN1CCNCC1"
137445105,-113.17079900938292,AFI,CN1CCNCC1,1,MD,137442759,SLC,"AFI,CN1CCNCC1"
137442359,-116.98550973809192,AFI,C[C@H](CN)CCCN,1,MD,83492531,DFT,"AFI,C[C@H](CN)CCCN"
137320193,-149.17035167175078,AFI,C[C@H](CN)CCCN,1,opt,83492532,DFT,"AFI,C[C@H](CN)CCCN"
137320193,-137.64056001018145,AFI,C[C@H](CN)CCCN,1,frz,83492532,DFT,"AFI,C[C@H](CN)CCCN"
137448461,-147.61312209211974,AFI,C[C@H](CN)CCCN,1,frz,137442624,SLC,"AFI,C[C@H](CN)CCCN"
137446043,-164.78271589002895,AFI,C[C@H](CN)CCCN,1,opt,137442625,SLC,"AFI,C[C@H](CN)CCCN"
137446043,-151.35860885106112,AFI,C[C@H](CN)CCCN,1,MD,137442625,SLC,"AFI,C[C@H](CN)CCCN"
137442361,-144.07142402451225,AFI,C[C@@H](CN)CCCN,1,opt,83492533,DFT,"AFI,C[C@@H](CN)CCCN"
137442361,-127.10676310778798,AFI,C[C@@H](CN)CCCN,1,frz,83492533,DFT,"AFI,C[C@@H](CN)CCCN"
137442361,-105.19918033813008,AFI,C[C@@H](CN)CCCN,1,MD,83492533,DFT,"AFI,C[C@@H](CN)CCCN"
137446044,-147.49260903804785,AFI,C[C@@H](CN)CCCN,1,opt,137442638,SLC,"AFI,C[C@@H](CN)CCCN"
137446044,-146.7854305288165,AFI,C[C@@H](CN)CCCN,1,frz,137442638,SLC,"AFI,C[C@@H](CN)CCCN"
137444762,-144.93561472950628,AFI,C[C@@H](CN)CCCN,1,MD,137442640,SLC,"AFI,C[C@@H](CN)CCCN"
137440450,-108.77108241286965,AFN,NCCCN,1,MD,83528902,DFT,"AFN,NCCCN"
137355250,-123.64042779069459,AFN,NCCCN,2,frz,83528904,DFT,"AFN,NCCCN"
137355250,-118.01638894283205,AFN,NCCCN,2,opt,83528904,DFT,"AFN,NCCCN"
137489303,-101.93233068934947,AFN,CC(C)N,1,frz,83511927,DFT,"AFN,CC(C)N"
137489303,-87.31977794843357,AFN,CC(C)N,1,MD,83511927,DFT,"AFN,CC(C)N"
137443691,-94.15044326112658,AFN,CC(C)N,3,opt,83511932,DFT,"AFN,CC(C)N"
137355882,-150.16352327058172,AFO,CCCNCCC,1,frz,87638523,DFT,"AFO,CCCNCCC"
137355882,-137.99323603128337,AFO,CCCNCCC,1,opt,87638523,DFT,"AFO,CCCNCCC"
137355882,-95.48570392027617,AFO,CCCNCCC,1,MD,87638523,DFT,"AFO,CCCNCCC"
137440616,-81.54515133202429,AFR,c1ccncc1,1,frz,83509650,DFT,"AFR,c1ccncc1"
137440616,-81.26995205470949,AFR,c1ccncc1,1,opt,83509650,DFT,"AFR,c1ccncc1"
137440641,-74.86493677462444,AFR,c1ccncc1,4,MD,83509661,DFT,"AFR,c1ccncc1"
137443752,-77.45567718067026,AFY,CCCCN,1,opt,83504873,DFT,"AFY,CCCCN"
137332460,-87.78577138965557,AFY,CCCCN,1,frz,83504875,DFT,"AFY,CCCCN"
137443756,-71.11345906285815,AFY,CCCCN,2,MD,83504885,DFT,"AFY,CCCCN"
137447566,-83.5713352463149,AFY,CCCCN,2,opt,137442116,SLC,"AFY,CCCCN"
137447567,-95.28056547405856,AFY,CCCCN,2,frz,137442117,SLC,"AFY,CCCCN"
137447570,-81.67180358981643,AFY,CCCCN,3,MD,137442119,SLC,"AFY,CCCCN"
137365228,-99.45151665039339,AFY,CCCNCCC,1,frz,83500162,DFT,"AFY,CCCNCCC"
137365228,-73.87713040608148,AFY,CCCNCCC,1,opt,83500162,DFT,"AFY,CCCNCCC"
137443735,-88.30246265424147,AFY,CCCNCCC,1,MD,83500164,DFT,"AFY,CCCNCCC"
137447585,-109.33958364667066,AFY,CCCNCCC,1,frz,137442128,SLC,"AFY,CCCNCCC"
137447585,-97.80669543075922,AFY,CCCNCCC,1,MD,137442128,SLC,"AFY,CCCNCCC"
137447589,-98.4595424343312,AFY,CCCNCCC,1,opt,137442130,SLC,"AFY,CCCNCCC"
137330573,-107.67720051039964,AFY,CCN(CC)CC,1,frz,83496873,DFT,"AFY,CCN(CC)CC"
137327460,-86.01429397426602,AFY,CCN(CC)CC,1,MD,83496875,DFT,"AFY,CCN(CC)CC"
137327460,36.09112261315472,AFY,CCN(CC)CC,1,opt,83496875,DFT,"AFY,CCN(CC)CC"
137447605,-102.6353043685151,AFY,CCN(CC)CC,1,frz,137442139,SLC,"AFY,CCN(CC)CC"
137447605,-100.68842655959821,AFY,CCN(CC)CC,1,opt,137442139,SLC,"AFY,CCN(CC)CC"
137447605,-84.41338036669578,AFY,CCN(CC)CC,1,MD,137442139,SLC,"AFY,CCN(CC)CC"
137344827,-88.2496660343511,ASV,CNC,2,frz,83513294,DFT,"ASV,CNC"
137344827,-88.15287003577143,ASV,CNC,2,opt,83513294,DFT,"ASV,CNC"
137366776,-79.19989851254911,ASV,CNC,2,MD,83513295,DFT,"ASV,CNC"
137333617,73.2983622740269,ATN,CCN(CC)CC,1,frz,83513270,DFT,"ATN,CCN(CC)CC"
137333617,397.0907553450692,ATN,CCN(CC)CC,1,opt,83513270,DFT,"ATN,CCN(CC)CC"
137443699,368.35705731186624,ATN,CCN(CC)CC,2,MD,83513271,DFT,"ATN,CCN(CC)CC"
137319738,-80.0084123389241,ATO,CN(C)C,2,frz,87647523,DFT,"ATO,CN(C)C"
137440997,-167.7792497313905,ATO,CN(C)C,3,opt,87647527,DFT,"ATO,CN(C)C"
137440997,-87.7963043223149,ATO,CN(C)C,3,MD,87647527,DFT,"ATO,CN(C)C"
137340892,-190.61655790266832,ATS,CC(C)NC(C)C,1,opt,83494312,DFT,"ATS,CC(C)NC(C)C"
137340892,-185.41207520815925,ATS,CC(C)NC(C)C,1,MD,83494312,DFT,"ATS,CC(C)NC(C)C"
137448859,-130.16149978623685,ATS,CC(C)NC(C)C,1,frz,83494314,DFT,"ATS,CC(C)NC(C)C"
137444253,-131.2126040632725,ATS,CC(C)NC(C)C,2,frz,137442035,SLC,"ATS,CC(C)NC(C)C"
137444253,-119.11197115809601,ATS,CC(C)NC(C)C,2,MD,137442035,SLC,"ATS,CC(C)NC(C)C"
137444253,-116.09936224336354,ATS,CC(C)NC(C)C,2,opt,137442035,SLC,"ATS,CC(C)NC(C)C"
137348842,-136.92636701848846,ATS,CCN(C(C)C)C(C)C,1,opt,83609025,DFT,"ATS,CCN(C(C)C)C(C)C"
137348842,-123.25805918206963,ATS,CCN(C(C)C)C(C)C,1,MD,83609025,DFT,"ATS,CCN(C(C)C)C(C)C"
138103867,-121.85605682229908,ATS,CCN(C(C)C)C(C)C,2,frz,83609029,DFT,"ATS,CCN(C(C)C)C(C)C"
137444263,-10.664373601655399,ATS,CCN(C(C)C)C(C)C,1,MD,137442047,SLC,"ATS,CCN(C(C)C)C(C)C"
139594332,-113.94518235632998,ATS,CCN(C(C)C)C(C)C,2,frz,137442048,SLC,"ATS,CCN(C(C)C)C(C)C"
139594332,-51.457888766598415,ATS,CCN(C(C)C)C(C)C,2,opt,137442048,SLC,"ATS,CCN(C(C)C)C(C)C"
137317705,-97.54039436982895,AWO,CCNCC,3,frz,87650150,DFT,"AWO,CCNCC"
137317705,-86.700241151921,AWO,CCNCC,3,opt,87650150,DFT,"AWO,CCNCC"
137357496,-82.06215927595797,AWO,CCNCC,4,MD,87650154,DFT,"AWO,CCNCC"
137367930,-55.760311316753686,AWO,C1CCNC1,7,frz,87640183,DFT,"AWO,C1CCNC1"
137367930,-23.42626005274966,AWO,C1CCNC1,7,opt,87640183,DFT,"AWO,C1CCNC1"
137367930,5.247291059148583,AWO,C1CCNC1,7,MD,87640183,DFT,"AWO,C1CCNC1"
137345283,-148.18486850531306,AWW,C1CCCNCC1,2,frz,83519932,DFT,"AWW,C1CCCNCC1"
137371556,-143.4242704775598,AWW,C1CCCNCC1,2,opt,83519933,DFT,"AWW,C1CCCNCC1"
137371556,-137.6883708040933,AWW,C1CCCNCC1,2,MD,83519933,DFT,"AWW,C1CCCNCC1"
137496119,-155.96140598358065,AWW,C1CCCNCC1,1,frz,137442036,SLC,"AWW,C1CCCNCC1"
137496119,-149.907104859999,AWW,C1CCCNCC1,1,opt,137442036,SLC,"AWW,C1CCCNCC1"
137496119,-143.0258190034507,AWW,C1CCCNCC1,1,MD,137442036,SLC,"AWW,C1CCCNCC1"
137327920,-124.07314706498151,BEC,CN(C)CCN(C)C,1,opt,83525944,DFT,"BEC,CN(C)CCN(C)C"
137327920,-117.64538843506746,BEC,CN(C)CCN(C)C,1,MD,83525944,DFT,"BEC,CN(C)CCN(C)C"
137321456,-126.87473972284988,BEC,CN(C)CCN(C)C,3,frz,83525949,DFT,"BEC,CN(C)CCN(C)C"
137446775,-126.61201149422621,BEC,CN(C)CCN(C)C,2,frz,137442208,SLC,"BEC,CN(C)CCN(C)C"
137446775,-122.33643067651725,BEC,CN(C)CCN(C)C,2,opt,137442208,SLC,"BEC,CN(C)CCN(C)C"
137445997,-121.19660588832147,BEC,CN(C)CCN(C)C,3,MD,137442209,SLC,"BEC,CN(C)CCN(C)C"
137327457,-119.30166549359943,BEC,C1CN2CCN1CC2,2,frz,83500490,DFT,"BEC,C1CN2CCN1CC2"
137327457,-118.91572712470757,BEC,C1CN2CCN1CC2,2,opt,83500490,DFT,"BEC,C1CN2CCN1CC2"
137443746,-107.46995990938385,BEC,C1CN2CCN1CC2,4,MD,83500497,DFT,"BEC,C1CN2CCN1CC2"
137446933,-123.50129668886034,BEC,C1CN2CCN1CC2,4,opt,137442218,SLC,"BEC,C1CN2CCN1CC2"
137446933,-118.15367017994768,BEC,C1CN2CCN1CC2,4,frz,137442218,SLC,"BEC,C1CN2CCN1CC2"
137446933,-117.56467653173223,BEC,C1CN2CCN1CC2,4,MD,137442218,SLC,"BEC,C1CN2CCN1CC2"
137441062,-108.03805559172616,BPH,CCN(CC)CC,2,frz,83513278,DFT,"BPH,CCN(CC)CC"
137441062,-106.03916110174832,BPH,CCN(CC)CC,2,opt,83513278,DFT,"BPH,CCN(CC)CC"
137441064,-94.25512019634705,BPH,CCN(CC)CC,2,MD,83513279,DFT,"BPH,CCN(CC)CC"
139686915,-97.32276080489856,CGF,c1c[nH]cn1,3,frz,87645203,DFT,"CGF,c1c[nH]cn1"
137442428,-95.90764549225922,CGF,c1c[nH]cn1,4,opt,87645206,DFT,"CGF,c1c[nH]cn1"
137442428,-89.48100638444298,CGF,c1c[nH]cn1,4,MD,87645206,DFT,"CGF,c1c[nH]cn1"
137354836,-1801.6001573134656,CHA,C1CCNCC1,2,opt,87640072,DFT,"CHA,C1CCNCC1"
137354836,-1800.13917327406,CHA,C1CCNCC1,2,MD,87640072,DFT,"CHA,C1CCNCC1"
137354836,-120.39921104771832,CHA,C1CCNCC1,2,frz,87640072,DFT,"CHA,C1CCNCC1"
137447559,-114.21865647619776,CHA,C1CCNCC1,2,frz,137442110,SLC,"CHA,C1CCNCC1"
137496120,-111.86670098870928,CHA,C1CCNCC1,3,opt,137442113,SLC,"CHA,C1CCNCC1"
137496120,-99.11301992973681,CHA,C1CCNCC1,3,MD,137442113,SLC,"CHA,C1CCNCC1"
137449356,-164.27303027927877,CHA,CCN(C(C)C)C(C)C,3,frz,87638166,DFT,"CHA,CCN(C(C)C)C(C)C"
137449356,-154.41493065725555,CHA,CCN(C(C)C)C(C)C,3,opt,87638166,DFT,"CHA,CCN(C(C)C)C(C)C"
137449356,-143.61047450416018,CHA,CCN(C(C)C)C(C)C,3,MD,87638166,DFT,"CHA,CCN(C(C)C)C(C)C"
137447579,-165.62381215826457,CHA,CCN(C(C)C)C(C)C,3,frz,137442124,SLC,"CHA,CCN(C(C)C)C(C)C"
137447579,-145.53801973589884,CHA,CCN(C(C)C)C(C)C,3,MD,137442124,SLC,"CHA,CCN(C(C)C)C(C)C"
137447579,-135.9734384800495,CHA,CCN(C(C)C)C(C)C,3,opt,137442124,SLC,"CHA,CCN(C(C)C)C(C)C"
137447002,-129.98209113050964,CHA,CC(C)NC(C)C,3,frz,87638360,DFT,"CHA,CC(C)NC(C)C"
137447002,-129.44200428320124,CHA,CC(C)NC(C)C,3,opt,87638360,DFT,"CHA,CC(C)NC(C)C"
137447002,-119.60832552888812,CHA,CC(C)NC(C)C,3,MD,87638360,DFT,"CHA,CC(C)NC(C)C"
137447609,-125.94582041833777,CHA,CC(C)NC(C)C,2,MD,137442144,SLC,"CHA,CC(C)NC(C)C"
137447610,-140.35506373548196,CHA,CC(C)NC(C)C,3,frz,137442145,SLC,"CHA,CC(C)NC(C)C"
137447612,-136.97760200768232,CHA,CC(C)NC(C)C,3,opt,137442147,SLC,"CHA,CC(C)NC(C)C"
137324659,-95.878664439147,CHA,C1COCCN1,2,frz,87647601,DFT,"CHA,C1COCCN1"
137324659,-95.69987666642666,CHA,C1COCCN1,2,opt,87647601,DFT,"CHA,C1COCCN1"
137351772,-88.23104244067625,CHA,C1COCCN1,3,MD,87647604,DFT,"CHA,C1COCCN1"
137446278,-92.57039213929208,CHA,C1COCCN1,2,MD,137442168,SLC,"CHA,C1COCCN1"
137446281,-106.45190968454948,CHA,C1COCCN1,3,frz,137442172,SLC,"CHA,C1COCCN1"
137496121,-104.78699252226662,CHA,C1COCCN1,3,opt,137442173,SLC,"CHA,C1COCCN1"
137369075,-103.71991075935117,CHA,C1CNCCN1,2,frz,87638300,DFT,"CHA,C1CNCCN1"
137369075,-103.50378847608363,CHA,C1CNCCN1,2,opt,87638300,DFT,"CHA,C1CNCCN1"
137369075,-99.28783824163732,CHA,C1CNCCN1,2,MD,87638300,DFT,"CHA,C1CNCCN1"
137446330,-113.38205304669579,CHA,C1CNCCN1,2,opt,137442189,SLC,"CHA,C1CNCCN1"
137446330,-100.88633598722406,CHA,C1CNCCN1,2,MD,137442189,SLC,"CHA,C1CNCCN1"
137446348,-117.25809589024327,CHA,C1CNCCN1,3,frz,137442191,SLC,"CHA,C1CNCCN1"
